Ticker,Date,Time,Open,High,Low,Close,Vol
HD,20040818,1600,35.0000,36.0900,35.0000,36.0300,12812900
HD,20040819,1600,36.0300,36.7900,36.0000,36.2400,9857400
HD,20040820,1600,36.2400,36.4900,36.0400,36.3600,5818000
HD,20040823,1600,36.2700,36.2800,35.6500,36.0000,5654200
HD,20040824,1600,36.1900,36.4000,36.0700,36.3300,7265700
HD,20040825,1600,36.2200,36.7700,36.0900,36.6000,5550000
HD,20040826,1600,36.5300,36.8700,36.4700,36.5700,3941200
HD,20040827,1600,36.5800,36.7900,36.3400,36.5900,3429100
HD,20040830,1600,36.5500,36.8000,36.4800,36.5300,3540300
HD,20040831,1600,36.6800,36.7500,36.1800,36.5600,5879400
HD,20040901,1600,36.5500,36.8300,36.3600,36.7700,2664300
HD,20040902,1600,36.9100,38.0000,36.9100,37.9300,10563100
HD,20040903,1600,37.7600,37.8800,37.3700,37.4800,6656000
HD,20040907,1600,37.7300,37.9900,37.5100,37.6400,6950800
HD,20040908,1600,37.5000,37.6400,37.2600,37.2600,4235700
HD,20040909,1600,37.2500,37.3500,36.6900,37.0100,5787000
HD,20040910,1600,37.0000,37.6900,36.9900,37.5400,5502800
HD,20040913,1600,37.7000,37.7900,37.3500,37.4300,5861900
HD,20040914,1600,37.6500,38.2000,37.5000,38.1400,6788100
HD,20040915,1600,38.1100,38.5500,37.9375,38.4600,3748500
HD,20040916,1600,38.4000,39.0900,38.4000,38.7000,7300700
HD,20040917,1600,38.9500,38.9500,38.2800,38.3100,11139500
HD,20040920,1600,38.3000,38.5900,38.0600,38.4600,4644200
HD,20040921,1600,38.7300,39.0900,38.5500,38.7900,5712700
HD,20040922,1600,38.5500,38.8100,38.1300,38.2500,6069800
HD,20040923,1600,38.2500,38.5200,38.1100,38.1600,3818000
HD,20040924,1600,38.1600,38.8100,38.1000,38.4300,5289200
HD,20040927,1600,38.4000,38.6600,38.2600,38.3100,4492300
HD,20040928,1600,38.2700,39.0000,37.8700,38.8300,7447000
